date,code,usdprice
2019-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6597
2019-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6797
2019-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8623
2019-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8896
2019-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8896
2019-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9478
2019-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9478
2019-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9604
2019-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9604
2019-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8963
2019-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8813
2019-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.2
2019-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.2
2020-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8622
2020-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8589
2020-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.895
2020-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.895
2020-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9337
2020-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9337
2020-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9364
2020-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8361
2020-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.966
2020-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.966
2020-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.4807
2020-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.4807
2020-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.6097
2020-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.6097
2020-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.6675
2020-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.6675
2020-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.8407
2020-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.8407
2020-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.8239
2021-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.2401
2021-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.2401
2021-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.3037
2021-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.3037
2021-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.378
2021-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.378
2021-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.963
2021-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.963
2021-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.1484
2021-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6756
2021-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1759
